#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
1,290,9754.898278,1
1,580,9764.265495,1
1,237,9768.023018,1
1,192,9770.724837,1
1,372,9776.824671,1
1,912,9791.28784,1
1,207,9794.805696,1
1,169,9797.37609,1
11,2638,9839.678466,11
20,431,9846.228856,20
177,1092,9863.330615,177
208,620,9872.897352,208
150,233,9875.973887,150
201,623,9885.681251,201
121,469,9893.2256,121
81,397,9899.417338,81
67,267,9903.597358,67
165,433,9910.494622,165
45,263,9914.56504,45
128,393,9920.617608,128
57,213,9923.599268,57
127,863,9937.261679,127
207,1137,9954.485855,207
51,152,9956.763474,51
123,478,9964.355077,123
193,410,9970.153821,193
